mode,series,batch_idx,mean_query_qps,mean_recall,runs
off,HNSW,0,34393.04098758704,0.8768775000000001,4
off,HNSW,1,33368.85982566373,0.8730325000000001,4
off,HNSW,2,33253.766531846944,0.8696,4
off,HNSW,3,32958.95465481132,0.8668925000000001,4
off,HNSW,4,32393.430964642845,0.8634050000000001,4
off,HNSW,5,32469.589875181096,0.8618725,4
off,HNSW,6,32407.527311719823,0.8592675000000001,4
off,HNSW,7,32729.702632223205,0.8578425000000001,4
off,HNSW,8,32419.435727238822,0.8565925000000001,4
off,HNSW,9,32880.161534191466,0.8550475,4
on,HNSW-BriskSeed,0,31043.109184763234,0.8761725000000001,4
on,HNSW-BriskSeed,1,52090.593830675185,0.8694425,4
on,HNSW-BriskSeed,2,51148.60190741145,0.8707800000000001,4
on,HNSW-BriskSeed,3,53629.10070712576,0.8726750000000001,4
on,HNSW-BriskSeed,4,54008.79370654849,0.8754125000000001,4
on,HNSW-BriskSeed,5,50684.916946849145,0.8776850000000002,4
on,HNSW-BriskSeed,6,53689.50878705783,0.8765350000000001,4
on,HNSW-BriskSeed,7,53101.025848228026,0.8765450000000001,4
on,HNSW-BriskSeed,8,52223.56694215013,0.8777950000000001,4
on,HNSW-BriskSeed,9,54076.43731678581,0.8791075,4
