mode,series,batch_idx,recall,query_qps,runs,file
briskseed,HNSW-BriskSeed,0,0.781755,23946.082018980243,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,1,0.7811350000000001,44997.171993409094,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,2,0.782255,43793.19150106636,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,3,0.784605,43001.592583965765,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,4,0.7857050000000001,41977.57505586368,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,5,0.7876700000000001,41523.62601685955,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,6,0.78923,45603.38861506508,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,7,0.79064,43337.46354667195,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,8,0.79128,44867.459072883656,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,9,0.79277,42185.32207585351,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,10,0.7942500000000001,43584.518617145695,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,11,0.795355,43843.95194455901,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,12,0.7960600000000002,44051.46374298382,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,13,0.7968700000000001,41316.69041580986,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,14,0.797575,45307.21062489639,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,15,0.7983950000000001,45238.191601060076,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,16,0.7995950000000001,42541.67230029832,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,17,0.80027,43742.1080918388,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,18,0.8012900000000001,43542.6358550773,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,19,0.801425,43626.44315695892,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,20,0.8020700000000001,44228.71476301832,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,21,0.80189,44108.724072055906,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,22,0.8023150000000001,44059.86442967305,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,23,0.8032950000000001,43151.53652298448,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,24,0.8044,43667.163563727,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,25,0.805095,42737.429256897114,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,26,0.8055650000000001,42945.61165788688,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,27,0.80608,43239.754810342594,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,28,0.8062800000000001,43421.99189139327,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,29,0.80632,42798.6875037159,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,30,0.8062750000000001,41262.993221044344,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,31,0.80627,43088.53224068547,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,32,0.80682,41108.28909687878,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,33,0.8070999999999999,41264.35634025524,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,34,0.80766,40709.95206792283,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,35,0.807605,41299.788732176574,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,36,0.80684,39097.16363807715,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,37,0.80776,40313.83689637226,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,38,0.80782,40735.603599794485,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,39,0.8076300000000001,40840.27847731064,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,40,0.8083,40345.52799284082,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,41,0.8081750000000001,41711.605110175595,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,42,0.80804,38878.15693573137,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,43,0.807895,39030.85778007338,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,44,0.8074100000000001,40482.7532475506,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,45,0.8077249999999999,41307.35187532807,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,46,0.807625,38914.652879822504,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,47,0.807785,38082.22450029667,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,48,0.8082450000000001,40070.70708222918,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
briskseed,HNSW-BriskSeed,49,0.8084250000000002,39173.747491502334,2,../results/sift10M/streamseed_hybrid/test1/test1_final_results.csv;../results/sift10M/streamseed_hybrid/test2/test2_final_results.csv
hnsw,HNSW,0,0.78189,22542.267313017393,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,1,0.7816000000000001,22634.686340984284,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,2,0.780095,22674.69778677475,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,3,0.77973,23299.654452969673,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,4,0.7787550000000001,22443.397662855612,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,5,0.7781300000000001,21146.216430503322,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,6,0.7771950000000001,23120.392566209768,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,7,0.77675,22341.41381743923,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,8,0.7755799999999999,23407.116319924637,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,9,0.77516,23070.115451739977,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,10,0.77493,21486.128082670915,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,11,0.774425,23222.699027721235,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,12,0.7740250000000001,22480.705657603703,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,13,0.773225,22448.23049386425,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,14,0.7722700000000001,21526.850729603942,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,15,0.7709600000000001,21726.513277807346,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,16,0.7704500000000001,21687.390499929745,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,17,0.769825,22492.248383686878,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,18,0.76861,21999.927454500732,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,19,0.76824,22029.323173176846,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,20,0.7674700000000001,21922.544990862552,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,21,0.76697,22882.063400115912,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,22,0.766885,22801.293066454484,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,23,0.767445,22900.976646461986,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,24,0.7670950000000001,23067.71092972446,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,25,0.766405,22742.403882815153,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,26,0.7656050000000001,22117.249521791397,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,27,0.76552,21788.178107642838,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,28,0.76425,21015.993700926192,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
hnsw,HNSW,29,0.76434,22027.08252020429,2,../results/sift10M/streamseed_hybrid/test1-off/test1-off_final_results.csv;../results/sift10M/streamseed_hybrid/test2-off/test2-off_final_results.csv
